Sample	Taxon	Sex	Location	locality_ID	OrbitalRingHueCat	TarsusHueCat	BillShapeRatio	BilllengthRatio	NB	NM	NW	T10	T9	T5	T4	W10_mm	W9_mm	B10_mm	B9_mm	B8_mm	B7_mm	B6_mm	B5_mm	M10_mm	M9_mm	M8_mm	M7_mm	M6_mm	M5_mm	M4_mm	TarsusR
LarArgXP007	Larus argentatus	F	USTK2	2	2	2	2.71195652	2.31262525	5	1	5	3	3	0	0	54.8477291	41.0502505	50.6311662	61.2534349	36.9257037	16.227391	10.0091494	0	164.596404	155.697843	111.572056	66.5787587	22.3281967	0	0	0.147584541
LarArgXP008	Larus argentatus	M	USTK2	2	2	2	2.72897196	2.33732877	7	2	7	4	3	3	1	57.2259919	41.6861354	126.77108	94.2255959	65.2984639	34.0869148	19.7466445	7.85210758	151.712461	196.820115	153.059186	103.239676	68.4589626	31.9786246	0	0.14732334
LarArgXP009	Larus argentatus	F	USTK2	2	2	1	2.85798817	2.3747412	5	1	5	3	3	0	0	62.463723	42.1297385	29.0024028	60.7226146	29.814828	18.8992798	9.20506058	0	153.221087	149.918875	98.9482259	54.8369358	29.9375457	0	0	0.151058824
LarArgXP010	Larus argentatus	M	USTK2	2	1	2	3.09359606	2.14490446	6	2	6	4	4	1	0	50.7657507	31.8388618	51.6411876	86.3550275	57.6070975	30.0258183	15.5112742	1.13922795	175.942427	192.40192	130.354033	93.9295926	43.7369042	13.9955012	0	0.155240175
LarArgXP011	Larus argentatus	M	USTK2	2	2	2	3.19459459	2.25380711	6	2	6	5	3	1	0	55.4263419	39.9495826	88.412253	86.8917106	37.5576195	17.3461109	9.30698117	0	142.185503	206.872024	143.278288	79.8550681	32.1864265	0	0	0.150456621
LarArgXP012	Larus argentatus	M	USTK2	2	1	3	2.98412698	2.29255319	5	2	5	2	3	0	0	65.1250432	47.0720709	51.9366802	89.2268373	47.6176939	18.1691174	8.35935071	0	166.019112	206.460732	131.344868	67.0483803	32.4128181	0	0	0.1515625
LarArgXP013	Larus argentatus	M	USTK2	2	1	3	2.885	2.26516464	5	1	5	2	3	0	0	53.0239269	34.3916335	54.4027217	77.5821615	51.9334898	26.1018545	8.56911056	0	158.758817	143.026935	102.734661	63.7278665	24.1343587	0	0	0.152995392
LarArgXP014	Larus argentatus	F	USTK2	2	2	4	2.93103448	2.34117647	6	1	6	3	2	1	0	61.1429504	42.9548717	43.0656534	71.5895786	52.4486622	24.4537683	10.0806086	0	146.48387	164.453283	112.409673	61.763228	34.5167559	0	0	0.144444444
LarArgXP015	Larus argentatus	F	USTK2	2	2	2	3.11695906	2.27954972	6	2	6	3	3	3	0	45.6724521	35.4583854	113.450085	110.683564	57.1743048	22.8448995	17.2807524	0	149.178663	173.756883	122.179591	63.9872457	31.6045647	0	0	0.155503513
LarArgYP0AA	Larus argentatus	F	SZCE4	4	1	1	2.73333333	2.34146341	5	1	5	4	3	0	0	49.9490983	31.0597049	60.3728785	51.4684399	36.8404384	15.4008753	9.26149927	0	152.388569	158.121206	110.065584	51.6112386	25.076479	0	0	0.156327543
