Taxon	Location	locality_ID	Sample	Sex	OrbitalRingHueAngle	Mantle	Tip	TarsusHueAngle	BillShapeRatio	BilllengthRatio	NB	NM	NW	T10	T9	T5	T4	W10	W9	B10	B9	B8	B7	B6	B5	M10	M9	M8	M7	M6	M5	M4	OrbitalRingHueCat	Tarsus_R
Larus glaucescens	BULD1	1	LarGlaMVZ172495	M	-7.142857143	5.5	4.75	-7.142857143	2.91025641	2.146842878	6	3	6	4	5	2	0	44.7502274	28.4691089	0	0	18.8188685	17.5954599	6.88351671	0	137.74589	173.528421	144.435867	73.7499643	21.3025877	8.9504821	0	4	NA
Larus glaucescens	BULD1	1	LarGlaMVZ172496	M	-9.545454545	5.75	5	-7.142857143	2.777310924	2.198184569	6	3	6	3	5	3	0	39.4853432	0	30.3228033	30.0194765	29.6034511	18.3456563	9.74257651	NA	149.381003	130.741367	99.5166163	NA	NA	NA	0	5	0.158078603
Larus glaucescens	BULD1	1	LarGlaMVZ172497	M	-11.25	5.25	4.25	-7.142857143	2.468253968	2.262057878	5	1	5	1	5	0	0	39.0045411	0	0	0	41.0354743	26.7297318	20.5123411	0	165.250783	140.359728	104.029189	92.6396604	NA	0	0	5	0.150772627
Larus glaucescens	BULD1	1	LarGlaMVZ172498	M	-7.142857143	5.75	4.5	-7.142857143	2.714285714	2.19504644	6	3	6	2	5	3	0	30.382393	0	0	40.1398499	32.246774	24.7552934	19.0224695	12.8341511	147.847886	169.532314	102.456204	57.990489	54.4802659	34.9780896	0	4	0.14279476
Larus glaucescens	BULD1	1	LarGlaMVZ172499	M	-7.142857143	5.75	4.75	-11.25	2.628099174	2.317610063	6	1	6	1	5	3	0	47.4545599	31.4905097	0	0	30.0212347	18.0770802	10.5354348	0	137.466868	170.375602	104.438372	74.3239344	37.0631961	8.54767736	0	3	0.160222222
Larus glaucescens	BULD1	1	LarGlaMVZ172500	M	-9.545454545	6	4.75	-11.25	2.861344538	2.151248164	6	1	6	4	1	3	0	44.5609749	0	0	0	41.7893516	28.8485714	20.3951874	11.9924428	146.302602	179.302014	140.005688	90.5669149	NA	NA	0	5	0.160167715
Larus glaucescens	BULD1	1	LarGlaMVZ172501	M	-23.07692308	5.5	5	-23.07692308	2.739837398	2.1884273	6	1	6	1	5	3	0	45.5235846	0	0	0	0	27.1243187	22.446042	14.9339218	155.97856	157.197751	107.487286	NA	NA	NA	0	5	0.153932584
Larus glaucescens	BULD1	1	LarGlaMVZ172502	M	-13.33333333	5.75	4.5	-7.142857143	2.851694915	2.129271917	6	2	6	4	5	3	0	33.1204519	0	0	0	32.8733968	22.535934	11.7618413	NA	156.369089	144.834564	128.867624	82.8630085	NA	NA	0	5	0.148672566
Larus glaucescens	BULD1	1	LarGlaMVZ172503	M	-11.25	5.5	4.75	-7.142857143	2.74025974	2.285939968	6	1	6	4	5	3	0	34.3717088	0	0	49.4117811	35.1779025	0	0	NA	158.02566	167.638335	139.111749	49.4605317	28.1926111	NA	0	5	0.156828194
Larus glaucescens	BULD1	1	LarGlaMVZ172504	F	-7.142857143	5.75	4.75	-9.545454545	2.863207547	2.171334432	7	0	7	1	5	1	1	48.3288189	0	0	41.4352857	33.1135081	28.8395276	20.3536835	9.68246503	137.597889	165.250597	142.503383	71.2803392	40.9034155	22.91174	0	3	0.149633252
